gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
42518.76878,-22519.10349,958.3806361,43490.55337,-21948.02808,930.4971802,42512.52484,-22515.56851,975.6486623,43489.6866,-21942.00782,940.9375059,43225.28678,-23648.71349,1045.122833,44082.81067,-23143.59157,1036.83022,43224.86035,-23647.02562,1062.9784,44082.19179,-23141.15189,1061.9159
42490.55464,-22471.25676,955.210037,43464.7497,-21898.75776,927.2619813,42484.45599,-22467.99397,971.8911991,43464.13037,-21892.94823,937.2280544,43220.2315,-23640.11435,1044.435708,44078.18697,-23134.74097,1036.10479,43219.76091,-23638.43165,1062.2174,44077.58979,-23132.26386,1061.0521
42462.34008,-22423.40932,952.0539563,43438.94559,-21849.48639,924.0465969,42456.38698,-22420.41917,968.1383403,43438.57375,-21843.8879,933.5310229,43235.39738,-23665.91175,1046.497084,44092.05785,-23161.29283,1038.281851,43234.95923,-23664.21355,1064.5204,44091.49623,-23158.82846,1063.6342
42434.1251,-22375.56117,948.9123409,43413.14103,-21800.21396,920.8508484,42428.31782,-22372.84411,964.3898216,43413.01675,-21794.82681,929.84631,43230.34207,-23657.31263,1045.809958,44087.4343,-23152.44219,1037.555909,43229.8598,-23655.61958,1063.7494,44086.79394,-23149.94006,1062.78
42405.90971,-22327.71231,945.7851363,43387.33604,-21750.94051,917.674549,42400.24853,-22325.26882,960.6453419,43387.4594,-21745.76507,926.1727013,43296.0654,-23769.10025,1054.743545,44147.53548,-23267.50159,1047.011117,43295.65144,-23767.34141,1073.7304,44146.90393,-23264.91302,1073.8571
42377.69391,-22279.86277,942.6722869,43361.53063,-21701.66604,914.5175043,42372.1791,-22277.69331,956.904571,43361.90175,-21696.70275,922.5089401,43306.1719,-23786.29304,1056.117012,44156.7811,-23285.20314,1048.468895,43305.75006,-23784.52947,1075.2716,44156.2037,-23282.59217,1075.5616
42349.47771,-22232.01253,939.5737361,43335.7248,-21652.39058,911.3795121,42344.10956,-22230.11761,953.1671593,43336.34384,-21647.63994,918.8536153,43301.12148,-23777.69918,1055.430856,44152.15832,-23276.35236,1047.739911,43300.65076,-23775.93541,1074.5011,44151.60376,-23273.80278,1074.7091
43296.10754,-23837.34749,1051.601125,44201.40529,-23305.26392,1027.849955,43287.99205,-23829.92565,1080.83338,44195.62625,-23297.18068,1048.364305,43316.2881,-23803.49432,1057.492473,44166.02649,-23302.90481,1049.92743,43315.8486,-23801.71761,1076.8026,44165.40382,-23300.27096,1077.2678
43274.49982,-23800.70421,1048.856091,44181.64781,-23267.54306,1024.927731,43266.38225,-23793.29869,1077.889394,44175.95764,-23259.4234,1045.243535,43311.22998,-23794.89369,1056.804735,44161.40383,-23294.05394,1049.198068,43310.74937,-23793.1235,1076.0322,44160.80376,-23291.48169,1076.4145
43252.89182,-23764.06044,1046.119718,44161.89,-23229.82144,1022.017406,43244.77251,-23756.67186,1074.945514,44156.2889,-23221.66586,1042.126772,43280.89741,-23743.30342,1052.681677,44133.66674,-23240.9493,1044.82591,43280.45354,-23741.55937,1071.4282,44133.10506,-23238.3432,1071.3134
